;orig.ident;nCount_RNA;nFeature_RNA;Timepoint;num_genes_expressed;Groups;percent.mito;percent.ribo;RNA_snn_res.0.8;seurat_clusters
T0-10;zygote;1010444;1606;0_h;1610;C;0;0;1;NFFG
T0-11;zygote;1181080;2040;0_h;2060;C;0;0;1;NFFG
T0-1;zygote;591488;1525;0_h;1528;C;0;0;0;NFFG
T0-12;zygote;646738;1755;0_h;1760;C;0;0;1;NFFG
T0-16;zygote;961324;1635;0_h;1636;C;0;0;1;NFFG
T0-19;zygote;894218;1444;0_h;1447;C;0;0;1;NFFG
T0-20;zygote;1543748;1763;0_h;1768;C;0;0;1;NFFG
T0-21;zygote;32098;937;0_h;938;C;0;0;0;NFFG
T0-2;zygote;149861;1232;0_h;1234;C;0;0;0;NFFG
T0-22;zygote;986270;1466;0_h;1473;C;0;0;1;NFFG
T0-23;zygote;989713;1916;0_h;1928;C;0;0;1;NFFG
T0-3;zygote;380825;931;0_h;934;C;0;0;0;NFFG
T0-4;zygote;1218133;1349;0_h;1353;C;0;0;0;NFFG
T0-5;zygote;773811;1300;0_h;1303;C;0;0;1;NFFG
T0-6;zygote;981812;1337;0_h;1343;C;0;0;1;NFFG
T0-7;zygote;1187467;1546;0_h;1551;C;0;0;1;NFFG
T0-9;zygote;1303394;1984;0_h;1988;C;0;0;1;NFFG
T2-10;zygote;971620;1516;2_h;1521;C;0;0;1;C_0
T2-13;zygote;972680;1103;2_h;1103;B;0;0;3;C_3
T2-15;zygote;577000;1159;2_h;1159;C;0;0;0;C_1
T2-16;zygote;1026361;1489;2_h;1490;A;0;0;0;C_1
T2-17;zygote;995593;1652;2_h;1654;A;0;0;1;C_0
T2-19;zygote;801196;1372;2_h;1373;C;0;0;1;C_0
T2-20;zygote;812215;1157;2_h;1157;C;0;0;0;C_1
T2-21;zygote;769643;1084;2_h;1086;C;0;0;0;C_1
T2-23;zygote;996679;1398;2_h;1399;A;0;0;1;C_0
T2-24;zygote;458022;892;2_h;895;B;0;0;0;C_1
T2-27;zygote;619920;1300;2_h;1304;B;0;0;0;C_1
T2-30;zygote;549698;1295;2_h;1297;C;0;0;0;C_1
T2-31;zygote;421131;1407;2_h;1411;A;0;0;0;C_1
T2-32;zygote;862202;1361;2_h;1361;A;0;0;1;C_0
T2-36;zygote;918975;1528;2_h;1529;A;0;0;1;C_0
T2-37;zygote;847549;831;2_h;832;B;0;0;0;C_1
T2-38;zygote;496401;1004;2_h;1006;B;0;0;0;C_1
T2-39;zygote;718931;620;2_h;622;B;0;0;0;C_1
T2-41;zygote;1412027;1398;2_h;1399;C;0;0;1;C_0
T2-42;zygote;523003;1567;2_h;1568;A;0;0;1;C_0
T2-43;zygote;1492778;1779;2_h;1784;A;0;0;1;C_0
T2-45;zygote;1341274;1614;2_h;1616;A;0;0;0;C_1
T2-46;zygote;869209;1477;2_h;1480;C;0;0;0;C_1
T2-47;zygote;1595958;1492;2_h;1492;A;0;0;1;C_0
T2-48;zygote;953355;1563;2_h;1564;A;0;0;1;C_0
T2-49;zygote;581968;940;2_h;940;B;0;0;0;C_1
T2-50;zygote;163220;824;2_h;824;B;0;0;0;C_1
T2-51;zygote;1046834;1726;2_h;1727;A;0;0;1;C_0
T2-52;zygote;989527;1762;2_h;1767;A;0;0;1;C_0
T2-56;zygote;776351;1636;2_h;1637;A;0;0;1;C_0
T2-57;zygote;255605;872;2_h;872;B;0;0;0;C_1
