ID;Term;Bgd_count;Result_count;Result_gene_list;Pct_of_bgd;Fold_enrichment;Odds_ratio;P-value;Benjamini;Bonferroni
GO:0040011;locomotion;44;10;PF3D7_0503400,PF3D7_0616500,PF3D7_0719500,PF3D7_0806300,PF3D7_0932200,PF3D7_1207300,PF3D7_1247800,PF3D7_1250100,PF3D7_1360500,PF3D7_1465700,;22.7;2.88;3.5;0.00181983465561;0.416931474916;1.0
GO:0048870;cell motility;24;7;PF3D7_0503400,PF3D7_0616500,PF3D7_0719500,PF3D7_0932200,PF3D7_1207300,PF3D7_1360500,PF3D7_1465700,;29.2;3.69;4.87;0.0019302383098;0.416931474916;1.0
GO:0051674;localization of cell;24;7;PF3D7_0503400,PF3D7_0616500,PF3D7_0719500,PF3D7_0932200,PF3D7_1207300,PF3D7_1360500,PF3D7_1465700,;29.2;3.69;4.87;0.0019302383098;0.416931474916;1.0
GO:0009187;cyclic nucleotide metabolic process;9;4;PF3D7_0515500,PF3D7_1360500,PF3D7_1404600,PF3D7_1470500,;44.4;5.62;9.42;0.00350993273229;0.504590952745;1.0
GO:0009190;cyclic nucleotide biosynthetic process;5;3;PF3D7_0515500,PF3D7_1360500,PF3D7_1404600,;60.0;7.59;17.62;0.00433991494386;0.504590952745;1.0
GO:0071976;cell gliding;10;4;PF3D7_0719500,PF3D7_1207300,PF3D7_1360500,PF3D7_1465700,;40.0;5.06;7.84;0.00548871165528;0.504590952745;1.0
GO:0006928;movement of cell or subcellular component;51;10;PF3D7_0503400,PF3D7_0616500,PF3D7_0719500,PF3D7_0729900,PF3D7_0932200,PF3D7_1023100,PF3D7_1207300,PF3D7_1360500,PF3D7_1465700,PF3D7_1465800,;19.6;2.48;2.89;0.00570209482419;0.504590952745;1.0
GO:0000338;protein deneddylation;2;2;PF3D7_1117100,PF3D7_1460400,;100.0;12.65;inf;0.00622951793512;0.504590952745;1.0
GO:0006644;phospholipid metabolic process;45;9;PF3D7_0509800,PF3D7_0511800,PF3D7_0515300,PF3D7_0530750,PF3D7_0618900,PF3D7_0628300,PF3D7_1111600,PF3D7_1366800,PF3D7_1412400,;20.0;2.53;2.96;0.00750105029721;0.540075621399;1.0
GO:0046488;phosphatidylinositol metabolic process;25;6;PF3D7_0509800,PF3D7_0515300,PF3D7_0530750,PF3D7_0618900,PF3D7_1111600,PF3D7_1412400,;24.0;3.04;3.73;0.011381683275;0.581928709588;1.0
GO:0006650;glycerophospholipid metabolic process;33;7;PF3D7_0509800,PF3D7_0515300,PF3D7_0530750,PF3D7_0618900,PF3D7_1111600,PF3D7_1366800,PF3D7_1412400,;21.2;2.68;3.18;0.0128499757525;0.581928709588;1.0
GO:0051179;localization;395;43;PF3D7_0103100,PF3D7_0108800,PF3D7_0210700,PF3D7_0217100,PF3D7_0320700,PF3D7_0503400,PF3D7_0504800,PF3D7_0515300,PF3D7_0515500,PF3D7_0515600,PF3D7_0519200,PF3D7_0523000,PF3D7_0531100,PF3D7_0606700,PF3D7_0616500,PF3D7_0706000,PF3D7_0710800,PF3D7_0719500,PF3D7_0806800,PF3D7_0904100,PF3D7_0906100,PF3D7_0916000,PF3D7_0932100,PF3D7_0932200,PF3D7_1038100,PF3D7_1116400,PF3D7_1117700,PF3D7_1121700,PF3D7_1125100,PF3D7_1142800,PF3D7_1202600,PF3D7_1207300,PF3D7_1223200,PF3D7_1223400,PF3D7_1227200,PF3D7_1351000,PF3D7_1360500,PF3D7_1426500,PF3D7_1432300,PF3D7_1451800,PF3D7_1461700,PF3D7_1465700,PF3D7_1467000,;10.9;1.38;1.48;0.0167153634626;0.581928709588;1.0
GO:0046486;glycerolipid metabolic process;35;7;PF3D7_0509800,PF3D7_0515300,PF3D7_0530750,PF3D7_0618900,PF3D7_1111600,PF3D7_1366800,PF3D7_1412400,;20.0;2.53;2.95;0.0176529464945;0.581928709588;1.0
GO:0044262;cellular carbohydrate metabolic process;3;2;PF3D7_0511800,PF3D7_1351600,;66.7;8.44;23.43;0.0177089336955;0.581928709588;1.0
GO:0052652;cyclic purine nucleotide metabolic process;3;2;PF3D7_0515500,PF3D7_1404600,;66.7;8.44;23.43;0.0177089336955;0.581928709588;1.0
GO:0015672;monovalent inorganic cation transport;31;6;PF3D7_0217100,PF3D7_0519200,PF3D7_0806800,PF3D7_1125100,PF3D7_1142800,PF3D7_1227200,;19.4;2.45;2.83;0.0317159556336;0.581928709588;1.0
GO:0000003;reproduction;4;2;PF3D7_0816800,PF3D7_1038400,;50.0;6.33;11.71;0.0335738703369;0.581928709588;1.0
GO:0022414;reproductive process;4;2;PF3D7_0816800,PF3D7_1038400,;50.0;6.33;11.71;0.0335738703369;0.581928709588;1.0
GO:0051716;cellular response to stimulus;126;16;PF3D7_0305600,PF3D7_0416400,PF3D7_0513600,PF3D7_0530500,PF3D7_0816800,PF3D7_1038100,PF3D7_1303800,PF3D7_1338400,PF3D7_1360500,PF3D7_1368800,PF3D7_1404600,PF3D7_1422500,PF3D7_1448400,PF3D7_1455300,PF3D7_1470500,PF3D7_1471400,;12.7;1.61;1.73;0.03823082171;0.581928709588;1.0
GO:0051168;nuclear export;10;3;PF3D7_1117700,PF3D7_1202600,PF3D7_1223200,;30.0;3.8;5.03;0.0386589036525;0.581928709588;1.0
GO:1902600;proton transmembrane transport;25;5;PF3D7_0217100,PF3D7_0519200,PF3D7_0806800,PF3D7_1125100,PF3D7_1142800,;20.0;2.53;2.94;0.0427171362258;0.581928709588;1.0
