Gene ID;source_id;Organism;Product Description;Gene Name or Symbol;Computed GO Components;Computed GO Function IDs;Computed GO Functions;Computed GO Process IDs;Computed GO Processes;Curated GO Component IDs;Curated GO Components;Curated GO Function IDs;Curated GO Functions;Curated GO Process IDs;Curated GO Processes;Computed GO Component IDs
mal_rna_8;mal_rna_8:rRNA;Plasmodium falciparum 3D7;unspecified product;null;null;null;null;null;null;null;null;null;null;null;null;null
PF3D7_0100600;PF3D7_0100600.1;Plasmodium falciparum 3D7;rifin;RIF;membrane;null;null;null;null;GO:0020002;host cell plasma membrane;null;null;GO:0020033;antigenic variation;GO:0016020
PF3D7_0101200;PF3D7_0101200.1;Plasmodium falciparum 3D7;exported protein family 3;EPF3;null;null;null;null;null;GO:0020036;Maurer's cleft;null;null;null;null;null
PF3D7_0101600;PF3D7_0101600.1;Plasmodium falciparum 3D7;rifin;RIF;null;null;null;null;null;"GO:0020036;GO:0020002;GO:0020003";"Maurer's cleft;host cell plasma membrane;symbiont-containing vacuole";null;null;"GO:0020033;GO:0020035;GO:0020013";"antigenic variation;cytoadherence to microvasculature, mediated by symbiont protein;modulation by symbiont of host erythrocyte aggregation";null
PF3D7_0102100;PF3D7_0102100.1;Plasmodium falciparum 3D7;stevor, pseudogene;null;null;null;null;null;null;null;null;null;null;null;null;null
PF3D7_0102400;PF3D7_0102400.1;Plasmodium falciparum 3D7;lysophospholipase, putative, pseudogene;null;null;null;null;null;null;null;null;null;null;null;null;null
PF3D7_0102900;PF3D7_0102900.1;Plasmodium falciparum 3D7;aspartate--tRNA ligase;null;cytoplasm;"GO:0005524;GO:0004812;GO:0004815;GO:0003676;GO:0000166";"ATP binding;aminoacyl-tRNA ligase activity;aspartate-tRNA ligase activity;nucleic acid binding;nucleotide binding";"GO:0006422;GO:0006418";"aspartyl-tRNA aminoacylation;tRNA aminoacylation for protein translation";GO:0005634;nucleus;"GO:0004815;GO:0042803";"aspartate-tRNA ligase activity;protein homodimerization activity";GO:0006422;aspartyl-tRNA aminoacylation;GO:0005737
PF3D7_0103000;PF3D7_0103000.1;Plasmodium falciparum 3D7;vacuolar protein sorting-associated protein VTA1, putative;null;cytoplasm;null;null;null;null;null;null;null;null;null;null;GO:0005737
PF3D7_0103100;PF3D7_0103100.1;Plasmodium falciparum 3D7;vacuolar protein sorting-associated protein 51, putative;VPS51;null;null;null;null;null;GO:0005794;Golgi apparatus;null;null;"GO:0015031;GO:0042147";"protein transport;retrograde transport, endosome to Golgi";null
PF3D7_0103400;PF3D7_0103400.1;Plasmodium falciparum 3D7;zinc-carboxypeptidase, putative;null;null;null;null;null;null;null;null;null;null;null;null;null
